IU UITS	GOC_Software_Cache_ITB	GOC_Software_Cache_ITB	software-itb.grid.iu.edu	NULL	NULL
IU UITS	GOC_Ticket	GOC_Ticket_1	ticket1.grid.iu.edu	NULL	NULL
IU UITS	GOC_Ticket	GOC_Ticket_2	ticket2.grid.iu.edu	NULL	NULL
GPN Kansas	GPN_KSU_CLUSTER	GPN_KSU_CLUSTER	cluster.greatplains.net	NULL	NULL
Nebraska-CMS	Nebraska	GPN-HUSKER	gpn-husker.unl.edu	NULL	NULL
GPN Kansas	gpnjayhawk	gpnjayhawk	gpnjayhawk.cpe.engr.ku.edu	NULL	NULL
GRASE Buffalo	GRASE-ALBANY-NYS	GRASE-ALBANY-NYS	athena.rit.albany.edu-decommissioned	NULL	NULL
GRASE Buffalo	GRASE-BINGHAMTON	GRASE-BINGHAMTON	rommel.cs.binghamton.edu	NULL	NULL
GRASE Buffalo	GRASE-CSE-MAGIC	GRASE-CSE-MAGIC	magic.cse.buffalo.edu	0	NULL
GRASE-GENESEO	GRASE-GENESEO-ROCKS	GRASE-GENESEO-ROCKS	rocks.ds.geneseo.edu	NULL	NULL
GRASE Buffalo	GRASE-HWI-IDUN	GRASE-HWI-IDUN	idun.hwi.buffalo.edu	NULL	NULL
GRASE Buffalo	GRASE-MARIST-nysgrid11	GRASE-MARIST-nysgrid11	nysgrid11.is.marist.edu	NULL	NULL
GRASE Niagra	GRASE-NU-CARTMAN	GRASE-NU-CARTMAN	cartman-grid.niagara.edu	NULL	NULL
GRASE Buffalo	GRASE-NYU-BENCH	GRASE-NYU-BENCH	bench.es.its.nyu.edu	NULL	NULL
GRASE Buffalo	GRASE-RIT-GCLUSTER	GRASE-RIT-GCLUSTER	gcluster.rit.edu	NULL	NULL
GRASE Buffalo	GRASE-SU-CLUSTER04	GRASE-SU-CLUSTER04	cluster04.syr.edu	NULL	NULL
GRASE Buffalo	GRASE-UR-NEBULA	GRASE-UR-NEBULA	nebula.hpc.rochester.edu	NULL	NULL
FermiGrid	GRATIA-OSG	GRATIA-OSG-DAILY	gratia-osg-daily.opensciencegrid.org	NULL	NULL
FermiGrid	GRATIA-OSG	GRATIA-OSG-ITB	gratia-osg-itb.opensciencegrid.org	NULL	NULL
FermiGrid	GRATIA-OSG	GRATIA-OSG-ITB-PERM	gratia-osg-integration.opensciencegrid.org	NULL	NULL
FermiGrid	GRATIA-OSG	GRATIA-OSG-PROD	gratia-osg-prod.opensciencegrid.org	NULL	NULL
FermiGrid	GRATIA-OSG	GRATIA-OSG-TRANSFER	gratia-osg-transfer.opensciencegrid.org	NULL	NULL
IU UITS	Gratia_Web	GratiaWeb 1	gratiaweb1.grid.iu.edu	NULL	NULL
IU UITS	Gratia_Web	GratiaWeb 2	gratiaweb2.grid.iu.edu	NULL	NULL
